Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      ND10      ND11      ND12      ND13      ND14      ND15      ND16      ND17      ND18      ND19      ND20      Egz.
Vardas806             Pavarde806                      6         8         4         1        10         9         9         8         6         7         6         2         8         3         3         8         4         6         6         5         9
Vardas807             Pavarde807                      1         2        10         9         9         5         8         3         3         4         2         2         6         3         5         1         8         4         4         4         2
Vardas808             Pavarde808                      3         4         9         9         6        10         7         3         2         7         4         1         6         9         7         2         2         3         1         6        10
Vardas809             Pavarde809                     10         7         1         7         7         8         3         1         3         3         4         2         2         1         4        10         3         3         2         1         3
Vardas810             Pavarde810                      1         8         6         3         1         9         8         2         5        10         1        10         2         8        10         1         2         1         8         8         2
Vardas811             Pavarde811                      3         6         4         7         8         6         2         3        10         5         4         2        10         5         6        10         2        10        10         7         9
Vardas812             Pavarde812                      8         9         6         4         5        10         2         3         1         1         6         6         9         2         7         5         1         1         7         7         2
Vardas813             Pavarde813                      2         8         2         9        10         5         4         9         6         1         1         2         8         1         1         2         8         9         5         8         1
Vardas814             Pavarde814                      4         6         1         2         9         8        10         2         2         6         2         4         2         3         6         2         8         6         9        10         5
Vardas815             Pavarde815                      4         9         3         6         1         4         7         3         8         8        10         5         3         3         6         3         9         5         4         5         4
Vardas816             Pavarde816                      7         6         7         2        10         7         7         6        10         9         7        10         5         8         1         7         7        10         4         4         8
Vardas817             Pavarde817                      4         4         7         6         3         9         2         1         7        10         4         5         5         4        10         9        10         8         8         4         5
Vardas818             Pavarde818                      2         9         9         6         5         6         1        10         4         1         2         9         2         3         3         1        10        10         9         3         3
Vardas819             Pavarde819                      4         2         3         2         7         4         5         3         7         4         3         6         9         5         7         1         5         9         4         8         4
Vardas820             Pavarde820                      6         1         4         2         3         1         4         7         8         6         3         9         3         2         7         1         1        10         6         6        10
Vardas821             Pavarde821                     10         5         7         2        10        10         7         2         5         9         5        10         8         9         6         6        10         6         4         8         3
Vardas822             Pavarde822                      1         5         4         7         9         5         2        10         6         4         7         9         3         5         6         9         1         7         8         9         9
Vardas823             Pavarde823                      5         8         6         2         5         6         5         8         9         4         8         4         8         9         4         3         7         5         7         6         8
Vardas824             Pavarde824                      6         6         1         7         9         3         2         3         9         3         2         8         7         2         6         3         3         8        10        10         4
Vardas825             Pavarde825                      8         8         5         2         2         7         8         1         9         8         9         9         3        10         8         8         4         5        10         5         7
Vardas826             Pavarde826                      7         4        10         5         3         3         8         3         5         2         9         2         2        10         7         3         8         2         7         4         9
Vardas827             Pavarde827                      6         1         6         6         1         8         8         7         5         9         3         5         6         1         8         5        10         8         1         4         1
Vardas828             Pavarde828                      8         2         5         1         5         7         7        10         3         8         8        10         5         1        10         7         9         5         4         1        10
Vardas829             Pavarde829                     10         1        10         3         7         5         2         4        10         2         3         6         2         2         8         5         5        10         9         8        10
Vardas830             Pavarde830                      9         2         6         3         9         4         8         2         2         7         5         8         1         2         7         5         6         4         3         7         3
Vardas831             Pavarde831                      9         9         8         8         4         8         2         3         4         4         9         2        10         1        10         4         9         8         8         1         3
Vardas832             Pavarde832                      8         3         7        10         3         5         5         7         3         5         5         8         7         3         5        10         6         6         2         8         7
Vardas833             Pavarde833                     10         6         7         9         5         5         3         5         8         4         2         5         7        10         1         8         1         1         3         5         7
Vardas834             Pavarde834                      9         8         6         7        10         4         3         9         2         9        10         9         5         6         1         2        10        10         2         4         2
Vardas835             Pavarde835                      6         2         1         8        10         5         4         5        10         6         4         4         4         2         7         2         2         1        10         2         1
Vardas836             Pavarde836                      8         4         8         1         5         2         1         1         4         5         6         2         9         4         6         6         1         5         8         7         2
Vardas837             Pavarde837                     10         4         2         9         8         4         4         5         3         7         6        10         7         3        10         6         3         4         4         6         2
Vardas838             Pavarde838                      5        10         5         9         6        10         6         2         9         3         3        10        10         3         2         4         4         4         4         3         5
Vardas839             Pavarde839                      4         4         3         9         7         2         6         8         5         2         1         1         9         6         6         1         1         4         2         3         4
Vardas840             Pavarde840                      4         5         2         4         3         8         4         1         4         1         5         3         3         9         6         5         8         3         2         4         2
Vardas841             Pavarde841                      9         4         1         3         2         1         8         4         9         5         3         8         9         6        10         6         5         9         5         2         5
Vardas842             Pavarde842                      4         2         6         6         5         8         1         2        10         9         8         9         6         2         8         9         2         3         1         5         8
Vardas843             Pavarde843                     10        10         4         2         7        10         4         3         6         4         1        10         4         5         8         6         9         5         6         6         7
Vardas844             Pavarde844                      8         4         9         4         8         2        10        10         1         2         4         2         8         2         4         7         2         1         9         8         8
Vardas845             Pavarde845                      3         1        10         2         2         6         2         7         9         2         3         9         7        10         6         8         9         4         5         2         2
Vardas846             Pavarde846                      3         1         7         4         6         6         2         7         6         4         5         1         8         5         7         9        10         7         6         7         4
Vardas847             Pavarde847                      2         5         5         4         5         2         1         7         9        10         4         5         2         5         7         3         5         2         9         4         6
Vardas848             Pavarde848                      1         7         5         9        10         4         7         4         3         2         4         3         5         4         6         1         7         4         8         3         9
Vardas849             Pavarde849                      4         3         1         1         3         1         8         3         7         7        10         8         5         1        10         3        10         4         1        10         1
Vardas850             Pavarde850                     10         2         8         4         8         6        10         4         3         9         5         9         5         3         8        10         9        10         3        10         1
Vardas851             Pavarde851                      7         9         7         5         2         4         7         9         5         3         4         8         2         9         9         8         5         1         4         7         3
Vardas852             Pavarde852                     10         2         7         8         9         6         5         6         4         7         6         8         9         4         9         9         4        10         5         5         3
Vardas853             Pavarde853                      6         5         6         4         2        10         1         3         3         7         6         1         8         2         8         1         6         4         5         3         7
Vardas854             Pavarde854                      5         6        10         1         8         7         1         9         5         2         4         6         9         9         7         4         3         7         2         9         4
Vardas855             Pavarde855                      1        10         2         2         2         1         3         4         3         7         2         9        10         9         1         8         2         3        10         5         7
Vardas856             Pavarde856                      8         2         8        10         8         7         4         3        10         8        10         1         8         1         1         4         8         5         5         5         9
Vardas857             Pavarde857                      5         4         8         8         1         3         4         3         1         5         3         3         3         4         5         3         9         3         9         5         7
Vardas858             Pavarde858                      5         4        10         4         4         4         6        10         4         4         3         7         1         1         6         2         8        10         5        10         6
Vardas859             Pavarde859                      8        10         3        10         3         8         4         5         8         7         7         7         9         7         4         7         1         4        10         2        10
Vardas860             Pavarde860                      2         9         4         8        10         6         9         1         6        10         1         6         3         7         6        10         6         4         1         4         7
Vardas861             Pavarde861                      7        10         6         3         2         1         7        10         8         1         2         4         9        10         7         4         7         1        10         6         2
Vardas862             Pavarde862                     10         5         3         4         1         1         4        10         9         7        10         6         8         2         2         9         7         1         8         2         2
Vardas863             Pavarde863                      2         6         8        10         5         4         8         1         6        10         9         5         7         9         1         6         9         1         3         5         6
Vardas864             Pavarde864                      8         9         4         8         9         3         9         4         7         8         6         9         2         2         3         5         6         4         2         6        10
Vardas865             Pavarde865                      5         2         8         2         4         4         7         2         9         4         7         6         4         7         3         1         2         5         3         5         1
Vardas866             Pavarde866                      1         7         1         1         1         3         4         2         6         6         6         9         4         3         3         1         7         2        10         7         6
Vardas867             Pavarde867                      4         4         8        10         7         5         9         7         7         8         7         2         1         3         7         5         1         6         2         8         3
Vardas868             Pavarde868                      8         9        10         9         6         9         8         1        10         7         1         9         1         4         2         2         1         2         2         6         9
Vardas869             Pavarde869                      9         3         3         1         6         3         9         2        10        10         3        10         2         9         4         9         8        10         4         2         7
Vardas870             Pavarde870                      9         8         9         7         4        10        10         9         1         4         6        10         8         1         6         6         2         9         9         5         5
Vardas871             Pavarde871                      5         3         3         8         1         3         6         2         2         3         6         8         8         3         1         1        10         7         5         4         5
Vardas872             Pavarde872                     10         8         3         6        10        10        10         5         6         1         3        10         7         1         2         3         3         3         4         3         3
Vardas873             Pavarde873                      4         3         3         5        10         8         8         3         4        10         3         3         9         9         8         7         7         1         4        10         2
Vardas874             Pavarde874                      6         4         7         5         8         9         9         8         7         4         9         8         7        10         8         2         6         9         6         3         3
Vardas875             Pavarde875                      9         9         4        10         9         7         1         7         4         9         8         7         4         2         6         4        10         8         8        10         1
Vardas876             Pavarde876                      1        10         2         4         9         3         9         2         9         8         8         9         4        10         3        10         6         9         9         9         5
Vardas877             Pavarde877                      9         4         2        10         7         4         3         8         8         1         5         7        10         5         2         7         3         1        10        10         7
Vardas878             Pavarde878                     10         4         5         6         9         5         9         9         8        10         3         1         7        10         5         6         7         5         2         7         9
Vardas879             Pavarde879                      7         5         2         4         5         6        10         5         5         1         4         7         6        10         7         6        10         4         3         6         1
Vardas880             Pavarde880                     10         2         6         5        10         5         9         7         7         6         4         3         9         1         8         6         4         2         6         3         7
Vardas881             Pavarde881                      4         9         1         5        10         4         2         9         4         6         8         2         2         1         7        10         9         3         5         8         7
Vardas882             Pavarde882                      8         7         4         3         6        10        10         8         3         9         6        10         5         1         7         5         7         9         6         3        10
Vardas883             Pavarde883                      4         5         5         9         5         7         9         3         4         2         5         7         2         5        10        10         3         5         2         9        10
Vardas884             Pavarde884                      4         6         6         8         2         7         6         9         3         4         3        10         2         7         6         1        10         5         9         3         4
Vardas885             Pavarde885                      4         9         5         3        10         6         9         2         1         9         3         3         1         4         9         6         7         4         6        10         8
Vardas886             Pavarde886                      5         6         9         6         3         8         1         7         6         3         3        10         5         2         4         8         1         9         2         2         5
Vardas887             Pavarde887                      9         7         7        10        10         2         1         5         3         7         1         8         5         1         1        10         2         8         3         2         9
Vardas888             Pavarde888                      9         1         3        10         2         3        10         2         6         6         8         2         4         5         8         1         2         1        10         8         6
Vardas889             Pavarde889                      6         8        10         3         8         5         1         4         3         4         1         8         7         1         8         6         4         2         1         9        10
Vardas890             Pavarde890                      5         6         3         8         3         4         2         9         1         4         7        10         4         9        10         8         3         9         4         9         7
Vardas891             Pavarde891                      2         7         8         6        10         2         9        10         6         5         6         1         2         6         7         4         4         4         5         9         9
Vardas892             Pavarde892                      3        10         1         2         8         4         6         7         4         1         3         4         4         5         4         4         3         6         7         8         7
Vardas893             Pavarde893                      7         1         9         2         4         1         5         7         9        10         3         9         9        10         7         7         3         8         4        10         9
Vardas894             Pavarde894                      6         8         9         2         2         6         4         1         9         5        10         2         2         7         2         6         8         1         4         8         7
Vardas895             Pavarde895                      3         6         3         7         1        10         9         3         7         3         3         8        10         7         1         9         5         3         7         5        10
Vardas896             Pavarde896                      4         5         9        10         6         2         1         7         8         1         6         5         2         6         8         8         4         7         5         4         4
Vardas897             Pavarde897                      4         4         3         8         8        10         6         1         7         6         9         5         4         1         8         2         8         7         9         2         2
Vardas898             Pavarde898                      6         7         9         3         1         4         3         2         5         9         3         3         4         2        10         4        10         3        10         6         2
Vardas899             Pavarde899                      5         4         5         5         2         4        10         9         6         8         8         6        10         3        10         4         6         8         2         7         2
Vardas900             Pavarde900                      7         1         7         6         1         8         6         3         9         6         3         2         6         9         9         7         9         8         4         8         4
Vardas901             Pavarde901                      2         5         2         4         2         1         4         6         8         6         9        10         4        10         7         6         3         8         8         1         7
Vardas902             Pavarde902                      2         5         6         1         6         9         8         2         3         4         5         3         8         4         1         1        10         2         1         1         1
Vardas903             Pavarde903                      9        10         2         2         2         2         4         8         4         7        10         9         5         1         7         4         8         9         1         8         3
Vardas904             Pavarde904                      6         9         4         7        10         8         6         8         4         9         8         9         5         6         8         4         8         3         8         1         2
Vardas905             Pavarde905                      6         3         6         2         4         1         7         6         2         5         7         7         1         8         2         5        10         8         1         4         9
Vardas906             Pavarde906                      1         3        10         7         8         4         2         1        10         1         4         6        10         8         5         9         8         6        10        10         6
Vardas907             Pavarde907                      2         8         8        10         2         2         2         1         4         2         4         4        10         2        10        10         8        10         9         6         6
Vardas908             Pavarde908                      4        10         8         4         6         1         9         3         7         1        10         3         6         7        10         9         5         5         1         5        10
Vardas909             Pavarde909                      5         1         9         2         7         7         7         8         9         8         2         7         9         4        10         5        10        10         2         8         8
Vardas910             Pavarde910                      9         3         2         1         8         8         4         1         6         1         8         9         8         6         6         6         1         1        10         5         6
Vardas911             Pavarde911                      4         6        10         6         8         3         2        10         5         5         5        10         2        10        10         6         5         2         7         4        10
Vardas912             Pavarde912                      6         6         8        10         2         5         1         6         9         3         4         8         4         7         8         4         8         3         9        10         8
Vardas913             Pavarde913                      9         5         6         6         7        10         7         9        10         4         7         6        10        10         9         7         4         2         2        10         1
Vardas914             Pavarde914                      6        10         5         4         1         1         5         7         7         6         8         7         2         9         4         8        10         5         6         8        10
Vardas915             Pavarde915                      2        10         5         3         2         8         5         8         6         8         6         3         5         7         8         1         4         5         7         8         3
Vardas916             Pavarde916                      9         8         3         9         2         3         6         8        10         1         4         2         9         1         8         2         2        10         9        10         7
Vardas917             Pavarde917                      7         6         6         9         5         4         6        10         3        10         3         9         1         2         8         4         8         7         5         7         3
Vardas918             Pavarde918                      8         1         5         1         3         7         2         3         2         1         9         1         8         6         5         5         6         3         9         6         4
Vardas919             Pavarde919                      4         1         3         9        10         2         1         4         5         2         5        10         2         9         3         9        10         1         3         8         6
Vardas920             Pavarde920                      2         2         1         6         6         2         9         5         2         7         4         6         2         5         8         6         8         5         2        10         6
Vardas921             Pavarde921                      2         6         1        10         1        10        10        10         8         8         6        10        10         3         1         2         2         1         6         4         6
Vardas922             Pavarde922                      5         8         7         1         5         4         3         3         4         7         7         6         7         9         5         2         9         1         3         2         6
Vardas923             Pavarde923                      5         1         2         3         1         4         4         5         3        10         8         4         4         9         8        10         9        10         5        10         5
Vardas924             Pavarde924                     10         2         5         3         5         3         6         6        10         7         8         1         8         2         6         9         9        10         1         6         1
Vardas925             Pavarde925                      2         5         4         4         4         3         8         5         6         7         7         9        10         8         4         5         8         3         2         9         3
Vardas926             Pavarde926                      1         4         1         1         4         7         7         3         7         6         3         8         5        10         3         3         4        10         7         1         2
Vardas927             Pavarde927                      6         8         3         9         6         1         1         9         5         9         1         6         4        10         4         7         4        10        10         5         8
Vardas928             Pavarde928                      6        10         8         2         5         9         9         5         1        10        10         9         1         5         3         8         5         7         3         4         3
Vardas929             Pavarde929                      3         5         4        10         1        10         9         6         8         9         1        10         7         5         2         7         7         5         9         1         4
Vardas930             Pavarde930                      7         5         1         3         6         1         3         8         2         3         8        10         7         2         1         6         5         5         4         2         9
Vardas931             Pavarde931                      3         9         4        10         3         5         9         1         3         4         4         2         3         1         5         6         3         2         4         5         9
Vardas932             Pavarde932                      7         5         9         4         4         6         9         3        10        10         7         9         8         7         2         4         7         8         3         4         3
Vardas933             Pavarde933                      8         8         8         7         1         6         3         4         3        10         9         8         8         8         6         8         6        10         7         6         2
Vardas934             Pavarde934                      1         1         4         8         3         5        10         1         5         5         2         7         2         9         4         5         7         4         9         8         4
Vardas935             Pavarde935                      9         2         5         2         3         2        10         5         9         2         8         3         5         8         5         4         2         3         1         4        10
Vardas936             Pavarde936                      2         9         1         6         4         8         4         6         3         4         4        10         7         6         7         4         6         1         4         7         5
Vardas937             Pavarde937                      3         5         6         5         8         8         7         6         8         9         9         6         9         9         6        10         6         7         1         2         6
Vardas938             Pavarde938                      3         4         7         8         6         2         1         9         9         4         5         2         5         3         2         3         6         8         7         7         8
Vardas939             Pavarde939                      4         8         4         7         3         9         2         7         8         3         9         9         7         4         9         4         8         5         8         1         1
Vardas940             Pavarde940                      8         9        10         2         6         5         8         6         5         2         4         6         7         1         3         3         3         4         8         5         3
Vardas941             Pavarde941                      9         1         7         7         1         5         8         3         2         3         6         1         8         9         8         7        10         5         5         6         9
Vardas942             Pavarde942                      4         4         3        10         4         4         8         3         9         3         2         7         1        10         5         7         5         7         8         7        10
Vardas943             Pavarde943                      1         5         8         6         6         9         9         6        10        10         9         6         1         7        10         6        10         6         9         3         2
Vardas944             Pavarde944                      6         2         4         2         8         9         4         3        10        10         5         8         9         8         3         4         8        10         7         7         5
Vardas945             Pavarde945                      4         1         2         2         5         4         5         1        10         9        10         2         3         9         1         8         8         9         2         9         5
Vardas946             Pavarde946                      1         9         9         1         3         8         1         5        10         6         1         9         7         4         1         7         3         3        10         8        10
Vardas947             Pavarde947                     10         8         2         6         8         8         9         1         7         4         1         4         1         5        10         7         6         9         4         1         1
Vardas948             Pavarde948                      1         7         3        10        10         2        10         2         9         5         8         1         3         1         5         8         6         4         2        10         7
Vardas949             Pavarde949                      6         2         7         6         4         1         4         3         1         3         7         7         4         1         3         4         2         9        10         5         1
Vardas950             Pavarde950                      4         7         3         3         6         1         6         1         7         2         6         1         8         1         6         3         2        10         2         6         2
Vardas951             Pavarde951                      6         2         6         2         5        10         4         7         4         1        10         1         7         4         4         6         8         9         7         4         3
Vardas952             Pavarde952                      7         3         5         7         8         9         3         4         9         6         4         4         1         3        10         7         8         5         2         1         9
Vardas953             Pavarde953                      5        10         9         5         1         8         4         3         3         1         1         3         8         3         8         1         3         8         5         9         1
Vardas954             Pavarde954                      3         8         5         6         6         1         2        10         3         1         5        10         9         4         4        10         9         1         6         9         4
Vardas955             Pavarde955                      7         4        10         1         8         6         8         6         1         8         2         6         2         6         7         8         2         7         6         3         3
Vardas956             Pavarde956                      1         5         8         2         9         4         6         3         3         8         5         3         6         5         5        10         1         3         4         9         8
Vardas957             Pavarde957                      5         8         8        10         3         3         8         9         3        10         8         4         4         7         4         8         7         8         7         1         2
Vardas958             Pavarde958                      9        10         5         1         2         7         4         5         1         3         4         1        10         5         3         5         3        10        10         6         8
Vardas959             Pavarde959                      7         5         3         9        10         6         9         1         4        10         2         1         6         9        10         1         4         1         8         4        10
Vardas960             Pavarde960                      4         7        10        10        10         5         9         2         9         2         9         2         3         7         5         1         4         3         9         8         1
Vardas961             Pavarde961                      9         2         5         3         4         6         5         9        10         8         2         1         2         4         3         6         8         9        10         8         9
Vardas962             Pavarde962                      1         7         8         1         7         1         4         2         1         1         1         1         3         4         4         7         4         5        10         5         1
Vardas963             Pavarde963                      4        10         1         2         8         2         6         8         3         8        10         5         9         8         7         6         6         2         9        10         9
Vardas964             Pavarde964                      7        10         1        10         1         8         5         1         9         8         2         3         6         2         9         5        10         7         9         4         7
Vardas965             Pavarde965                      8         6         9         9         6         8         1         1         8         5         5         2         4         1         1         9         7         8         7         5         8
Vardas966             Pavarde966                      6         3         7         6        10         4         1         8         7        10        10         3         8         4         1         9         6         4         4        10        10
Vardas967             Pavarde967                      9         3         5         4         7         4         6         4        10         9         8        10        10         4         8         6         6         4         6         7         8
Vardas968             Pavarde968                      4         1         7         5         8         4         6         2         1         1         9         2         8         9        10         2         4         4         7         5         2
Vardas969             Pavarde969                     10         9         7         3         3         5         2         3         1         6         3         6         5         5         4         7        10         6         2         7         3
Vardas970             Pavarde970                      9         4         4         3         8         4         3        10         3         7         3         5         5         2         8         5         5         2         3         3         5
Vardas971             Pavarde971                      5         1         3         7         7         3         4         3         1         5         3         4         7         6         2         2         5         5         1        10         4
Vardas972             Pavarde972                      4        10         9         3         9         4         7         3        10         2         8         1         2         5         7         1         1        10        10         3         4
Vardas973             Pavarde973                      7         9         8         8         8         2        10         7         9         7         1         3         4         8         9         5         7        10         2         2         3
Vardas974             Pavarde974                     10         3         7         3         1         4         7         7         5         8        10         3        10         3         6         6         8         9        10         9         9
Vardas975             Pavarde975                      5         9         7         8         9         6         7         1         6         8         4         2         8         6         8        10         2        10         3         7         4
Vardas976             Pavarde976                      8         5         3         1         5         6         7         2         7         8         3         3         4         3         1         3         1         7         7         5         1
Vardas977             Pavarde977                      1         9        10         4         5         8         3         6         3        10         5         3         6         1         3         7         6         1         8         7         5
Vardas978             Pavarde978                      8         8         1         3         2         7         1         9        10         9         2         9         3         7         4         5         2         4         3        10         7
Vardas979             Pavarde979                      4         8         6         4         1         6         6         1         4         9         7         8         3         9         3         9         7        10         5         3         3
Vardas980             Pavarde980                      3        10         1         9         4         6         7         2         3         6         7         4         3         1         5         3         6         7         3         1         2
Vardas981             Pavarde981                     10         3         6        10         8         1         1        10         7         9         8         2         5         2         3         7         6         6        10         5         7
